SYRY,edu_low21_59,DB,OLD60,CJR,JSZA,TEMP_POPU,XD,XJRY,JSGL,JTGL,MDJF,TFSJ,SPYP,SCGL,XFAQ,SHFW,ZGFW,GGSS,SHZA
0.0011095100,0.0001192340,0.0000000000,0.0595228830,0.0000000000,0.0000000000,0.0989491920,0.0000000000,0.0000000000,0.0070224720,0.0114583330,0.0044545190,0.0218750000,0.0088712140,0.0057747830,0.0339070300,0.0609743750,0.0085714290,0.0177998250,0.0071820740
0.0324196880,0.5317787970,0.0000000000,0.1829891600,0.0158045980,0.0000000000,0.0699799850,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0011597560,0.0015625000,0.0000000000,0.0017324350,0.1102929660,0.0058070830,0.0000000000,0.0000000000,0.0006232380
0.0329306810,0.5785635020,0.1277788480,0.2777780770,0.1765907760,0.1634559250,0.0000000000,0.0000000000,0.0247931640,0.0000000000,0.0000000000,0.0115448480,0.0062500000,0.0000000000,0.0000000000,0.0084375910,0.0162733380,0.0000000000,0.0000000000,0.0000000000
0.0021021150,0.0058131570,0.0878414340,0.3221757090,0.0871063910,0.1639649710,0.0000000000,0.0213724390,0.0000000000,0.0042134830,0.0020833330,0.0000000000,0.0062500000,0.0006118080,0.0000000000,0.0003580940,0.0770451400,0.0000000000,0.0017508020,0.0004154920
0.0071632070,0.6047822960,0.0106903620,0.3910014100,0.5063492060,0.3047619050,0.0000000000,0.0000000000,0.0000000000,0.0126404490,0.0000000000,0.0010016080,0.0000000000,0.0012236160,0.0000000000,0.0002238090,0.0047266960,0.0000000000,0.0110884160,0.0002374240
0.0065289650,0.0117103430,0.0048719100,0.4259301530,0.1909722220,0.2546296300,0.0000000000,0.0165951800,0.0000000000,0.0112359550,0.0000000000,0.0008434590,0.0000000000,0.0012236160,0.0000000000,0.0000000000,0.1143860360,0.0000000000,0.0046688070,0.0014245440
0.0455840460,0.7147615940,0.1020443670,0.2027131280,0.1111111110,0.1616161620,0.0000000000,0.0000000000,0.0000000000,0.0056179780,0.0000000000,0.0000000000,0.0031250000,0.0064239830,0.0000000000,0.0000000000,0.0029710660,0.0000000000,0.0005836010,0.0001780680
0.0029799400,0.8554601480,0.1200759790,0.2871251780,0.2396988910,0.1901743260,0.0000000000,0.0757434510,0.1346139130,0.0126404490,0.0031250000,0.0000000000,0.0093750000,0.0006118080,0.0000000000,0.0000448000,0.0074276650,0.0000000000,0.0005836010,0.0000000000
0.0114306500,0.0550529510,0.0000000000,0.3140900880,0.3622087130,0.5673758870,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0001054320,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0790033420,0.0000000000,0.0011672020,0.0002967800
0.0021600710,0.0693833670,0.0128947510,0.2297679000,0.1684855450,0.1684855450,0.0079755900,0.0109808430,0.0000000000,0.0266853930,0.0000000000,0.0081710110,0.0000000000,0.0024472320,0.0000000000,0.0015219000,0.0923056150,0.0000000000,0.0035016050,0.0023742400
