code,SYRY,edu_low21_59,DB,OLD60,CJR,JSZA,TEMP_POPU,XD,XJRY,JSGL,JTGL,MDJF,TFSJ,SPYP,SCGL,XFAQ,ZGFW,SHFW,GGSS,SHZA,risk
2648,0.006447831,0.503516999,0.012309496,0.162954279,0.015826495,0.001758499,0.0005860000,0,0.00000000,0,6,2,14,34,40,0,0,218,2,16,1
2649,0.005102041,0.085034014,0.005102041,0.231292517,0.019557823,0.005102041,0.0000000000,0.004251701,0.00000000,0,4,512,0,0,0,22,0,32,4,12,1
2650,0.000628141,0.027638191,0,0.236180905,0.022613065,0.003768844,0.0000000000,0,0.00000000,2,0,2,2,0,2,0,0,1518,48,2,1
2651,0.052948255,0.521058965,0.021058965,0.208182912,0.019855596,0.003610108,0.0000000000,0,0.00060169,0,2,0,0,0,0,40,0,2836,0,160,1
2652,0,0.154598826,0.019569472,0.207436399,0.019569472,0.005870841,0.0000000000,0.003913894,0.00000000,10,4,0,8,22,0,6,0,176,62,2,1
2653,0.005730659,0.286532951,0.008595989,0.103151862,0.014326648,0.005730659,0.0028700000,0,0.00000000,26,0,2,0,0,0,106,0,58,2,54,1
2654,0.006783493,0.443188242,0.007914076,0.155455059,0.017524025,0.003957038,0.0017000000,0.003391747,0.00791408,76,2,16,0,2,84,36,0,2760,88,56,2
2655,0.008378217,0.234590066,0.000598444,0.198683423,0.022740874,0.013764213,0.0000000000,0.001196888,0.00000000,0,0,0,0,0,0,0,0,7766,0,26,1
2656,0.000160231,0.000801154,0.006088768,0.28008332,0.009774075,0.003204615,0.3200000000,0.001922769,0.00016023,2,0,52,0,2,0,3889,0,4066,66,540,2
2657,0.017804154,0.347181009,0.020771513,0.25074184,0.045994065,0.023738872,0.0193000000,0.002967359,0.00890208,0,2,0,0,0,2,608,0,112,6,8,2
2658,0.010478771,0.164227642,0.000722674,0.122312556,0.00596206,0.000542005,0.0054200000,0.000542005,0.00054201,18,50,84,20,787,501,3227,2,29619,152,555,2
2659,0.011440108,0.423956931,0.000672948,0.195827725,0.014131898,0.004710633,0.0000000000,0,0.00000000,0,0,0,0,0,0,2,0,1284,0,4,1
2660,0.012175754,0.506617258,0.026469031,0.217046056,0.036527263,0.019057702,0.0000000000,0.002117522,0.00000000,0,2,20,0,0,0,0,0,2960,12,0,2
2661,0.005302227,0.534464475,0.011664899,0.238600212,0.020148462,0.002120891,0.0000000000,0.002120891,0.00106045,0,0,0,0,0,0,2,0,1806,2,0,1
2662,0.003752345,0.018761726,0.001641651,0.225844278,0.005159475,0.000469043,0.0828000000,0.002345216,0.00187617,0,2,20,18,0,0,700,0,3822,14,2576,2
2663,0.003590664,0.008323813,0.015178717,0.316631304,0.022849682,0.004733148,0.0142000000,0.007181329,0.00261139,4,8,22,12,40,6,1068,0,3262,331,105,2
2664,0.045238095,0.550595238,0.048809524,0.220833333,0.038095238,0.005357143,0.0000000000,0.000595238,0.00000000,0,0,42,0,0,4,0,0,1448,0,30,1
2665,0.000628931,0.575471698,0.005660377,0.211949686,0.020125786,0.003773585,0.0000000000,0,0.00062893,0,0,0,0,0,0,76,0,1264,0,0,1
